('time,pressure,temperature,'humidity,gyro_x,gyro_y,gyro_z,uv_index,ir_light,visible_light,eco2,tvoc,rawh2,rawethanol,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,latitude,longitude,altitude,speed,course,acc,gyro,mag),
('2021-03-27 14:42:15.854788',101.75,24.06,-52.83,-0.43,0.31,-0.37,5.51,8740.0,1285.0,435.0,5.0,15187.0,19244.0,-0.15,-0.05,0.99,17.57,6.84,-35.5,44.261001660000005,26.00242909,131.4,0.0,135.3,1.002546757,0.6464518544,40.1962747),
('2021-03-27 14:42:18.840256',101.75,24.06,-52.67,-0.43,0.37,-0.49,5.51,8736.0,1285.0,419.0,0.0,15201.0,19243.0,-0.15,-0.05,0.99,19.46,5.77,-34.7,44.26100168,26.00242909,131.4,0.0,135.3,1.002546757,0.7495998933,40.2004291),
('2021-03-27 14:42:22.529701',101.75,24.01,-52.69,-0.43,0.37,-0.49,5.51,8738.0,1286.0,400.0,0.0,15222.0,19252.0,-0.15,-0.05,0.99,18.2,6.24,-35.8,44.261001699999994,26.00242909,131.4,0.0,135.3,1.002546757,0.7495998933,40.64255897),
('2021-03-27 14:42:25.475761',101.73,24.1,-52.87,-0.43,0.43,-0.61,5.5,8736.0,1283.0,413.0,0.0,15215.0,19258.0,-0.15,-0.05,1.0,18.21,6.38,-34.3,44.26100172,26.0024291,131.4,0.0,135.3,1.012422837,0.8613361713,39.35477735),
('2021-03-27 14:42:27.549917',101.75,24.08,-52.73,-0.43,0.37,-0.73,5.43,8718.0,1284.0,481.0,28.0,15166.0,19214.0,-0.15,-0.05,0.99,17.7,6.47,-35.0,44.26100171,26.0024291,131.4,0.0,135.3,1.002546757,0.9244998648,39.75111193),
('2021-03-27 14:42:29.635440',101.75,24.04,-52.75,-0.37,0.37,-0.31,5.42,8619.0,1269.0,474.0,23.0,15168.0,19215.0,-0.15,-0.05,0.99,18.51,6.05,-34.2,44.26100172,26.00242909,131.4,0.0,135.3,1.002546757,0.608194048,39.35559172),
('2021-03-27 14:42:33.340033',101.75,24.16,-51.57,-0.49,0.18,-0.61,5.42,8619.0,1266.0,467.0,24.0,15160.0,19217.0,-0.15,-0.05,0.99,18.73,6.38,-35.0,44.26100172,26.002429080000002,131.4,0.0,135.3,1.002546757,0.8028698525,40.20593613),
('2021-03-27 14:42:35.437922',101.74,24.25,-51.72,-0.49,0.43,-0.55,5.42,8629.0,1269.0,478.0,27.0,15154.0,19207.0,-0.15,-0.05,0.99,18.03,6.97,-34.5,44.26100176,26.002429069999998,131.4,0.0,135.3,1.002546757,0.8529361055,39.54632473),
('2021-03-27 14:42:51.015113',101.75,24.27,-51.74,-0.37,0.49,-0.43,5.43,8631.0,1270.0,484.0,25.0,15155.0,19210.0,-0.15,-0.05,0.99,17.91,6.63,-35.6,44.26100185999999,26.002429189999997,131.4,0.0,135.3,1.002546757,0.7495998933,40.39907177),
('2021-03-27 14:42:53.115851',101.75,24.29,-51.92,-0.37,0.18,-0.24,5.44,8650.0,1273.0,482.0,31.0,15154.0,19218.0,-0.15,-0.05,0.99,18.42,5.54,-33.8,44.26100187,26.002429189999997,131.3,0.0,135.3,1.002546757,0.4763402146,38.88994729),
('2021-03-27 14:42:55.336205',101.75,24.27,-52.0,-0.55,0.43,-0.61,5.43,8617.0,1270.0,492.0,29.0,15147.0,19210.0,-0.15,-0.05,0.99,17.42,7.24,-35.0,44.26100188,26.00242921,131.3,0.0,135.3,1.002546757,0.9270922284,39.76020624),
('2021-03-27 14:42:58.211163',101.75,24.25,-52.0,-0.24,0.18,-0.49,5.42,8619.0,1268.0,481.0,26.0,15158.0,19208.0,-0.15,-0.05,0.99,18.91,5.37,-32.5,44.26100188,26.00242922,131.3,0.0,135.3,1.002546757,0.5745432969,37.98256179),
('2021-03-27 14:43:01.100084',101.73,24.25,-51.77,-0.37,0.06,-0.49,5.42,8625.0,1268.0,489.0,31.0,15148.0,19209.0,-0.15,-0.05,0.99,18.29,6.6,-32.3,44.26100187,26.00242925,131.3,0.0,135.3,1.002546757,0.6169278726,37.70111537),
('2021-03-27 14:43:05.644312',101.75,24.29,-51.94,-0.49,0.55,-0.55,5.42,8631.0,1269.0,491.0,27.0,15150.0,19212.0,-0.15,-0.05,0.99,17.92,6.03,-34.9,44.261001900000004,26.002429229999997,131.3,0.0,135.3,1.002546757,0.9192932068,39.69253456),
('2021-03-27 14:43:07.750731',101.75,24.32,-52.22,-0.73,0.31,-0.55,5.44,8640.0,1273.0,504.0,27.0,15137.0,19211.0,-0.15,-0.05,0.99,18.19,6.47,-34.3,44.261001910000005,26.00242925,131.3,0.0,135.3,1.002546757,0.9651424765,39.36022104),
('2021-03-27 14:43:10.655181',101.75,24.42,-52.08,-0.37,0.18,-0.43,5.42,8627.0,1268.0,523.0,38.0,15125.0,19204.0,-0.15,-0.05,0.99,18.51,6.08,-34.5,44.26100193,26.002429269999997,131.3,0.0,135.3,1.002546757,0.5951470407,39.62116227),
('2021-03-27 14:43:12.784848',101.75,24.49,-52.13,-0.31,0.37,-0.43,5.42,8612.0,1269.0,525.0,38.0,15116.0,19192.0,-0.15,-0.05,0.99,17.6,6.02,-34.1,44.26100194,26.00242928,131.3,0.0,135.3,1.002546757,0.6464518544,38.84340871),
('2021-03-27 14:43:15.725637',101.74,24.45,-52.22,-0.37,0.37,-0.31,5.45,8652.0,1274.0,539.0,41.0,15121.0,19185.0,-0.15,-0.05,0.99,17.18,6.75,-34.4,44.261001969999995,26.00242929,131.3,0.0,135.3,1.002546757,0.608194048,39.03940189),
('2021-03-27 14:43:17.844174',101.75,24.45,-52.27,-0.73,0.31,-0.43,5.44,8640.0,1271.0,522.0,40.0,15128.0,19187.0,-0.15,-0.05,0.99,17.83,5.47,-33.6,44.261001990000004,26.0024293,131.3,0.0,135.3,1.002546757,0.9021640649,38.42902289),
('2021-03-27 14:43:20.740110',101.75,24.4,-52.06,-0.55,0.55,-0.55,5.44,8635.0,1272.0,508.0,40.0,15143.0,19178.0,-0.15,-0.05,0.99,18.3,6.32,-36.2,44.261002,26.00242932,131.3,0.0,135.3,1.002546757,0.9526279442,41.05206938),
('2021-03-27 14:43:22.844896',101.75,24.29,-52.28,-0.43,0.12,-0.24,5.43,8623.0,1270.0,481.0,29.0,15159.0,19198.0,-0.15,-0.05,0.99,17.9,6.32,-34.4,44.26100204,26.00242932,131.3,0.0,135.3,1.002546757,0.5068530359,39.29010562),
('2021-03-27 14:43:24.939860',101.74,24.19,-52.38,-0.49,0.31,-0.37,5.45,8641.0,1274.0,465.0,30.0,15166.0,19207.0,-0.15,-0.05,0.98,18.6,5.98,-34.4,44.261002049999995,26.00242932,131.3,0.0,135.3,0.9926731587,0.6878226516,39.56109705),
('2021-03-27 14:43:27.849230',101.74,24.16,-52.36,-0.31,0.24,-0.31,5.44,8620.0,1272.0,473.0,33.0,15161.0,19203.0,-0.15,-0.05,0.99,18.93,7.07,-34.2,44.26100211,26.00242926,131.3,0.0,135.3,1.002546757,0.49979996,39.72366801),
('2021-03-27 14:43:29.924331',101.74,24.16,-52.35,-0.43,0.24,-0.31,5.44,8649.0,1272.0,471.0,32.0,15156.0,19209.0,-0.15,-0.05,0.99,17.94,6.7,-36.1,44.261002129999994,26.002429229999997,131.3,0.0,135.3,1.002546757,0.581893461,40.86494341),
('2021-03-27 14:43:33.619159',101.74,24.18,-52.47,-0.55,0.49,-0.73,5.43,8620.0,1271.0,446.0,27.0,15184.0,19212.0,-0.15,-0.05,0.98,18.99,6.32,-33.0,44.26100222,26.00242913,131.3,0.0,135.3,0.9926731587,1.037063161,38.59485069),
('2021-03-27 14:43:36.514757',101.74,24.03,-52.16,-0.37,0.37,-0.67,5.43,8604.0,1268.0,424.0,18.0,15197.0,19222.0,-0.15,-0.05,0.98,17.8,6.36,-34.1,44.261002239999996,26.00242909,131.3,0.0,135.3,0.9926731587,0.8501176389,38.9884547),
('2021-03-27 14:43:38.595836',101.75,23.88,-52.0,-0.37,0.18,-0.37,5.43,8614.0,1270.0,419.0,15.0,15201.0,19237.0,-0.15,-0.05,0.98,18.21,6.59,-34.2,44.26100228999999,26.002429040000003,131.3,0.0,135.3,0.9926731587,0.5533534133,39.302318),
('2021-03-27 14:43:40.714275',101.73,23.93,-52.32,-0.37,0.37,-0.61,5.43,8616.0,1270.0,435.0,18.0,15193.0,19224.0,-0.15,-0.05,0.99,17.72,6.43,-34.6,44.261002319999996,26.00242902,131.3,0.0,135.3,1.002546757,0.8036790404,39.40181849),
('2021-03-27 14:43:43.585233',101.75,23.95,-52.1,-0.55,0.24,-0.49,5.43,8608.0,1267.0,429.0,6.0,15197.0,19233.0,-0.15,-0.05,0.99,18.37,6.47,-33.7,44.26100236,26.00242901,131.3,0.0,135.3,1.002546757,0.7747257579,38.92310111),
('2021-03-27 14:43:46.445384',101.74,23.97,-52.2,-0.43,0.43,-0.61,5.43,8621.0,1271.0,433.0,14.0,15191.0,19227.0,-0.15,-0.05,0.99,17.83,6.37,-35.2,44.26100238,26.00242902,131.3,0.0,135.3,1.002546757,0.8613361713,39.96906053),
('2021-03-27 14:43:49.284901',101.75,24.04,-52.29,-0.55,0.31,-0.49,5.43,8623.0,1271.0,442.0,11.0,15185.0,19231.0,-0.15,-0.05,0.99,18.51,6.18,-33.8,44.26100241,26.00242901,131.3,0.0,135.3,1.002546757,0.799187087,39.02886752),
('2021-03-27 14:43:51.395075',101.74,24.06,-52.28,-0.43,0.31,-0.67,5.43,8621.0,1270.0,437.0,17.0,15185.0,19236.0,-0.15,-0.05,0.99,18.18,6.48,-34.9,44.26100244,26.002429000000003,131.3,0.0,135.3,1.002546757,0.854341852,39.88123368),
('2021-03-27 14:43:53.504253',101.74,23.99,-52.16,-0.49,0.43,-0.43,5.42,8600.0,1269.0,432.0,11.0,15192.0,19228.0,-0.15,-0.05,0.99,17.57,6.68,-35.2,44.26100245,26.00242899,131.3,0.0,135.3,1.002546757,0.7809609465,39.90447719),
