('time,pressure,temperature,'humidity,gyro_x,gyro_y,gyro_z,uv_index,ir_light,visible_light,eco2,tvoc,rawh2,rawethanol,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,latitude,longitude,altitude,speed,course,acc,gyro,mag),
('2021-03-27 14:45:27.420334',101.73,25.52,-52.0,-0.37,0.43,-0.55,5.39,8530.0,1263.0,596.0,113.0,15065.0,19141.0,-0.15,-0.05,1.0,18.16,6.76,-34.7,44.26100382,26.002427429999997,131.0,0.0,135.3,1.012422837,0.7901265721,39.74384481),
('2021-03-27 14:45:29.544544',101.75,25.52,-51.93,-0.37,0.49,-0.49,5.37,8507.0,1260.0,612.0,121.0,15058.0,19134.0,-0.15,-0.05,0.99,17.44,6.46,-34.9,44.26100386,26.002427429999997,131.0,0.0,135.3,1.002546757,0.7855571271,39.54611485),
('2021-03-27 14:46:20.729252',101.75,25.59,-51.98,-0.43,0.55,-0.24,5.38,8520.0,1261.0,604.0,121.0,15059.0,19130.0,-0.15,-0.05,0.99,18.36,6.31,-33.6,44.26100476,26.002426500000002,130.9,0.0,135.3,1.002546757,0.738241153,38.80548544),
('2021-03-27 14:46:26.035049',101.75,25.48,-52.01,-0.43,0.31,-0.49,5.37,8510.0,1259.0,591.0,130.0,15066.0,19140.0,-0.15,-0.05,0.99,17.43,6.49,-35.5,44.26100481,26.002426489999998,130.9,0.0,135.3,1.002546757,0.7218725649,40.07711317),
('2021-03-27 14:46:28.995067',101.75,25.48,-52.07,-0.31,0.43,-0.43,5.37,8513.0,1260.0,597.0,129.0,15064.0,19126.0,-0.15,-0.05,0.99,18.59,6.85,-34.9,44.261004899999996,26.002426449999998,130.9,0.0,135.3,1.002546757,0.6825686779,40.13129203),
('2021-03-27 14:46:31.994842',101.73,25.39,-52.01,-0.43,0.49,-0.49,5.38,8521.0,1262.0,572.0,122.0,15071.0,19131.0,-0.15,-0.05,0.99,18.1,6.45,-35.8,44.26100499,26.0024264,130.9,0.0,135.3,1.002546757,0.8155366331,40.63068422),
('2021-03-27 14:46:34.110441',101.75,25.26,-51.96,-0.49,0.24,-0.31,5.38,8529.0,1262.0,577.0,123.0,15083.0,19133.0,-0.15,-0.05,0.99,17.96,6.21,-35.9,44.26100503,26.002426340000003,130.9,0.0,135.3,1.002546757,0.6275348596,40.61940054),
('2021-03-27 14:46:36.245388',101.75,25.33,-52.09,-0.43,0.37,-0.55,5.38,8514.0,1261.0,598.0,128.0,15066.0,19131.0,-0.15,-0.05,0.99,18.05,6.16,-34.5,44.26100507,26.00242629,130.9,0.0,135.3,1.002546757,0.7901265721,39.42078259),
('2021-03-27 14:46:38.365516',101.75,25.4,-52.08,-0.31,0.31,-0.37,5.37,8508.0,1259.0,593.0,126.0,15062.0,19125.0,-0.15,-0.05,0.99,18.15,6.2,-34.0,44.26100512,26.00242624,130.9,0.0,135.3,1.002546757,0.5736723804,39.03668147),
('2021-03-27 14:46:40.485324',101.75,25.46,-51.95,-0.43,0.43,-0.31,5.38,8534.0,1262.0,608.0,130.0,15054.0,19122.0,-0.15,-0.05,0.99,17.52,6.82,-34.4,44.26100515,26.00242619,130.9,0.0,135.3,1.002546757,0.6825686779,39.20233156),
('2021-03-27 14:46:45.804628',101.73,25.53,-52.1,-0.24,0.43,-0.49,5.37,8508.0,1260.0,611.0,132.0,15048.0,19119.0,-0.15,-0.05,1.0,17.57,6.46,-34.9,44.26100519,26.002426139999997,130.8,0.0,135.3,1.012422837,0.6946941773,39.60361726),
('2021-03-27 14:46:48.755389',101.74,25.63,-52.0,-0.31,0.31,-0.37,5.37,8503.0,1259.0,621.0,132.0,15045.0,19116.0,-0.15,-0.05,1.0,18.96,6.31,-34.3,44.26100535,26.00242604,130.8,0.0,135.3,1.012422837,0.5736723804,39.69619251),
('2021-03-27 14:47:16.480158',101.75,25.57,-51.84,-0.18,0.49,-0.43,5.37,8514.0,1260.0,613.0,132.0,15049.0,19114.0,-0.15,-0.05,0.99,17.79,6.24,-34.6,44.26100593,26.00242539,130.8,0.0,135.3,1.002546757,0.6763135368,39.40281335),
('2021-03-27 14:47:21.809694',101.75,25.52,-52.16,-0.12,0.24,-0.61,5.38,8515.0,1262.0,603.0,131.0,15062.0,19120.0,-0.15,-0.05,0.99,18.26,6.8,-34.9,44.26100597,26.00242535,130.8,0.0,135.3,1.002546757,0.6664082833,39.97095946),
('2021-03-27 14:47:30.219944',101.75,25.52,-52.19,-0.37,0.37,-0.43,5.37,8515.0,1261.0,603.0,133.0,15051.0,19113.0,-0.15,-0.05,0.99,18.07,6.77,-34.7,44.26100605,26.00242527,130.8,0.0,135.3,1.002546757,0.6772739475,39.70450604),
('2021-03-27 14:47:38.689192',101.73,25.5,-52.15,-0.49,0.37,-0.37,5.36,8490.0,1257.0,598.0,132.0,15056.0,19113.0,-0.15,-0.05,0.99,17.71,6.71,-34.7,44.26100617,26.00242511,130.7,0.0,135.3,1.002546757,0.7168681887,39.53173662),
('2021-03-27 14:47:43.240551',101.74,25.52,-52.12,-0.49,0.37,-0.43,5.38,8517.0,1261.0,585.0,132.0,15069.0,19125.0,-0.15,-0.05,0.99,18.18,5.88,-35.6,44.26100631,26.00242487,130.7,0.0,135.3,1.002546757,0.7495998933,40.40354935),
('2021-03-27 14:47:47.749930',101.75,25.44,-52.16,-0.37,0.31,-0.24,5.37,8507.0,1260.0,587.0,133.0,15059.0,19118.0,-0.15,-0.05,0.99,18.32,6.56,-34.3,44.26100638,26.0024248,130.7,0.0,135.3,1.002546757,0.5390732789,39.43533948),
('2021-03-27 14:47:50.000410',101.75,25.46,-52.15,-0.12,0.37,-0.55,5.36,8494.0,1258.0,598.0,131.0,15060.0,19114.0,-0.15,-0.05,0.99,18.14,6.3,-34.7,44.261006390000006,26.00242479,130.7,0.0,135.3,1.002546757,0.6736467917,39.65904184),
('2021-03-27 14:47:52.889521',101.75,25.37,-52.17,-0.31,0.49,-0.37,5.37,8505.0,1259.0,601.0,133.0,15050.0,19118.0,-0.15,-0.05,0.99,18.05,6.27,-33.4,44.26100642,26.00242479,130.7,0.0,135.3,1.002546757,0.6878226516,38.47954522),
('2021-03-27 14:47:55.749843',101.74,25.44,-52.11,-0.37,0.24,-0.43,5.38,8513.0,1261.0,585.0,133.0,15063.0,19115.0,-0.15,-0.05,0.99,18.16,6.65,-34.0,44.26100644,26.00242479,130.7,0.0,135.3,1.002546757,0.6159545438,39.11531797),
('2021-03-27 14:47:57.864927',101.74,25.29,-52.14,-0.43,0.37,-0.37,5.35,8489.0,1256.0,571.0,127.0,15076.0,19123.0,-0.15,-0.05,0.99,18.14,6.8,-34.9,44.26100646,26.0024248,130.7,0.0,135.3,1.002546757,0.6772739475,39.91628239),
('2021-03-27 14:48:01.750248',101.74,25.29,-52.14,-0.37,0.37,-0.31,5.36,8503.0,1258.0,573.0,130.0,15078.0,19125.0,-0.15,-0.05,0.99,17.97,6.18,-34.0,44.26100646,26.0024248,130.7,0.0,135.3,1.002546757,0.608194048,38.95013864),
('2021-03-27 14:48:03.955718',101.75,25.35,-52.11,-0.37,0.43,-0.49,5.38,8524.0,1262.0,579.0,130.0,15064.0,19122.0,-0.15,-0.05,0.99,18.14,6.58,-34.1,44.26100648,26.00242482,130.7,0.0,135.3,1.002546757,0.7495998933,39.18119447),
('2021-03-27 14:48:06.895329',101.75,25.39,-52.2,-0.43,0.24,-0.49,5.36,8495.0,1258.0,595.0,131.0,15060.0,19112.0,-0.15,-0.05,0.99,18.19,6.9,-35.0,44.261006509999994,26.002424780000002,130.7,0.0,135.3,1.002546757,0.6946941773,40.04355254),
('2021-03-27 14:48:08.985200',101.74,25.33,-52.17,-0.12,-0.06,-0.49,5.36,8496.0,1258.0,578.0,127.0,15072.0,19126.0,-0.15,-0.05,0.99,18.21,7.13,-35.4,44.26100652,26.00242476,130.7,0.0,135.3,1.002546757,0.5080354318,40.44256421),
('2021-03-27 14:48:11.879763',101.75,25.27,-52.1,-0.43,0.24,-0.37,5.35,8489.0,1255.0,584.0,133.0,15068.0,19123.0,-0.15,-0.05,0.99,18.82,5.75,-34.3,44.26100653,26.002424729999998,130.7,0.0,135.3,1.002546757,0.6159545438,39.54421449),
('2021-03-27 14:48:13.985416',101.75,25.37,-52.28,-0.31,0.43,-0.55,5.34,8462.0,1253.0,587.0,133.0,15063.0,19114.0,-0.15,-0.05,0.99,17.53,6.13,-35.1,44.26100656,26.002424740000002,130.7,0.0,135.3,1.002546757,0.763871717,39.71004659),
('2021-03-27 14:48:16.065845',101.75,25.4,-52.04,-0.31,0.37,-0.37,5.37,8502.0,1259.0,587.0,131.0,15064.0,19118.0,-0.15,-0.05,0.99,18.26,6.41,-34.7,44.26100658,26.00242472,130.7,0.0,135.3,1.002546757,0.608194048,39.73167125),
('2021-03-27 14:48:18.189850',101.75,25.46,-52.07,-0.43,0.12,-0.61,5.35,8486.0,1256.0,584.0,124.0,15060.0,19123.0,-0.15,-0.05,0.99,18.42,6.67,-34.1,44.261006619999996,26.00242465,130.7,0.0,135.3,1.002546757,0.7559100476,39.32677587),
('2021-03-27 14:48:21.030029',101.75,25.42,-52.02,-0.61,0.37,-0.31,5.35,8472.0,1255.0,591.0,135.0,15061.0,19119.0,-0.15,-0.05,0.99,17.87,6.63,-34.6,44.26100666,26.00242459,130.7,0.0,135.3,1.002546757,0.7778817391,39.50257966),
('2021-03-27 15:07:59.773838',101.71,24.38,-40.24,-0.18,0.37,-1.65,4.76,7585.0,1148.0,429.0,5.0,15169.0,19250.0,-0.1,-0.05,0.97,18.85,6.35,-35.4,0.0,0.0,0.0,0.0,0.0,0.9764220399,1.700529329,40.60547993),
('2021-03-27 15:08:01.910586',101.72,24.27,-40.4,-0.24,0.31,-0.37,4.78,7617.0,1149.0,416.0,6.0,15179.0,19248.0,-0.14,-0.05,0.99,18.35,6.59,-35.9,0.0,0.0,0.0,0.0,0.0,1.001099396,0.5390732789,40.85291422),
('2021-03-27 15:08:03.804956',101.72,24.31,-40.4,-0.18,0.31,-0.43,4.76,7590.0,1146.0,414.0,8.0,15174.0,19251.0,-0.14,-0.05,0.98,18.24,6.12,-35.3,0.0,0.0,0.0,0.0,0.0,0.9912113801,0.5598214001,40.20251236),
('2021-03-27 15:08:05.648748',101.72,24.21,-40.22,-0.49,0.37,-0.31,4.78,7612.0,1149.0,412.0,2.0,15177.0,19251.0,-0.14,-0.05,0.98,18.44,6.75,-35.4,0.0,0.0,0.0,0.0,0.0,0.9912113801,0.6878226516,40.48155259),
('2021-03-27 15:08:07.314763',101.73,24.12,-40.32,-0.61,0.31,-0.61,4.76,7609.0,1146.0,415.0,1.0,15178.0,19255.0,-0.14,-0.05,0.99,18.77,7.12,-35.5,0.0,0.0,0.0,0.0,0.0,1.001099396,0.9166787878,40.78305163),
('2021-03-27 15:08:08.830254',101.71,24.23,-40.31,-0.49,0.37,-0.61,4.77,7596.0,1146.0,405.0,3.0,15184.0,19250.0,-0.14,-0.05,0.99,18.13,7.42,-35.9,0.0,0.0,0.0,0.0,0.0,1.001099396,0.8655056326,40.896984),
('2021-03-27 15:08:10.359400',101.72,24.01,-40.3,-0.49,0.43,-0.43,4.77,7594.0,1147.0,400.0,1.0,15194.0,19266.0,-0.14,-0.05,0.99,18.98,5.98,-34.5,0.0,0.0,0.0,0.0,0.0,1.001099396,0.7809609465,39.82776419),
('2021-03-27 15:08:11.860150',101.72,24.04,-40.42,-0.37,0.31,-0.37,4.77,7604.0,1147.0,408.0,0.0,15197.0,19258.0,-0.14,-0.05,0.99,18.31,6.75,-35.8,0.0,0.0,0.0,0.0,0.0,1.001099396,0.608194048,40.77325839),
('2021-03-27 15:08:13.190620',101.72,24.08,-40.36,-0.55,0.43,-0.37,4.76,7596.0,1146.0,400.0,0.0,15195.0,19264.0,-0.14,-0.05,0.99,18.4,5.57,-34.5,0.0,0.0,0.0,0.0,0.0,1.001099396,0.7901265721,39.49474522),
('2021-03-27 15:08:14.659671',101.72,24.04,-40.18,-0.49,0.43,-0.31,4.77,7594.0,1147.0,400.0,0.0,15203.0,19267.0,-0.14,-0.05,0.99,18.57,5.98,-36.6,0.0,0.0,0.0,0.0,0.0,1.001099396,0.7218725649,41.47487553),
('2021-03-27 15:08:17.124908',101.71,24.08,-40.27,-0.43,0.37,-0.31,4.77,7592.0,1145.0,412.0,3.0,15195.0,19275.0,-0.15,-0.05,0.99,18.2,6.54,-34.1,0.0,0.0,0.0,0.0,0.0,1.002546757,0.6464518544,39.20231626),
('2021-03-27 15:08:19.124082',101.72,24.08,-40.11,-0.37,0.49,-0.31,4.77,7604.0,1147.0,416.0,2.0,15187.0,19269.0,-0.14,-0.05,0.99,18.57,6.3,-35.0,0.0,0.0,0.0,0.0,0.0,1.001099396,0.6878226516,40.11900921),
('2021-03-27 15:08:21.068799',101.73,24.03,-40.13,-0.67,0.31,-0.31,4.76,7590.0,1146.0,418.0,0.0,15187.0,19271.0,-0.14,-0.05,0.99,19.06,6.16,-35.3,0.0,0.0,0.0,0.0,0.0,1.001099396,0.8006872048,40.58718024),
('2021-03-27 15:08:23.019688',101.73,24.06,-40.16,-0.55,0.18,-0.37,4.76,7587.0,1146.0,427.0,3.0,15183.0,19265.0,-0.15,-0.05,0.99,18.95,6.9,-36.9,0.0,0.0,0.0,0.0,0.0,1.002546757,0.6868769904,42.05142685),
('2021-03-27 15:08:25.858269',101.73,24.06,-39.99,-0.18,0.49,-0.73,4.76,7603.0,1146.0,409.0,0.0,15196.0,19269.0,-0.15,-0.05,0.99,18.92,6.56,-34.9,44.26104857,26.002484340000002,121.8,0.0,252.1,1.002546757,0.8974408058,40.23692334),
('2021-03-27 15:08:27.360488',101.72,24.04,-40.17,-0.49,0.31,-0.24,4.76,7589.0,1145.0,426.0,4.0,15183.0,19265.0,-0.14,-0.05,0.99,18.51,6.25,-35.2,44.26104773,26.00247905,120.6,0.0,252.1,1.001099396,0.6275348596,40.25819916),
('2021-03-27 15:08:29.066430',101.72,24.1,-40.04,-0.55,0.06,-0.06,4.75,7591.0,1145.0,421.0,4.0,15184.0,19258.0,-0.14,-0.05,0.99,19.31,6.01,-35.5,44.26104641,26.002472320000003,120.1,0.0,252.1,1.001099396,0.5565069631,40.85640953),
('2021-03-27 15:08:30.829076',101.72,24.01,-39.99,-0.43,-0.06,-0.43,4.75,7586.0,1143.0,413.0,1.0,15188.0,19269.0,-0.14,-0.05,0.99,18.53,5.92,-36.2,44.26104477,26.00245958,119.8,0.0,252.1,1.001099396,0.6110646447,41.09558735),
('2021-03-27 15:08:32.399515',101.73,23.91,-40.0,-0.55,0.24,-0.31,4.76,7596.0,1146.0,400.0,0.0,15211.0,19276.0,-0.14,-0.05,0.98,19.56,6.05,-34.9,44.261055,26.002447529999998,116.6,0.0,252.1,0.9912113801,0.6754257916,40.46240354),
('2021-03-27 15:08:34.150414',101.73,23.78,-39.94,-0.24,0.43,-0.43,4.77,7599.0,1148.0,414.0,0.0,15201.0,19279.0,-0.14,-0.05,0.99,18.53,6.4,-35.9,44.261055,26.00244686,116.6,0.0,252.1,1.001099396,0.6537583651,40.90392279),
('2021-03-27 15:08:36.305277',101.72,23.8,-40.05,-0.43,0.37,-0.18,4.76,7597.0,1146.0,414.0,6.0,15195.0,19274.0,-0.14,-0.05,0.99,18.25,6.56,-34.4,44.26105931,26.00244051,115.0,0.0,252.1,1.001099396,0.5951470407,39.48994935),
('2021-03-27 15:08:38.414111',101.72,23.82,-39.95,-0.37,0.43,-0.24,4.76,7596.0,1145.0,420.0,7.0,15189.0,19275.0,-0.14,-0.05,0.99,18.29,6.02,-34.9,44.26106028,26.002439250000002,114.7,0.0,252.1,1.001099396,0.6159545438,39.85943427),
('2021-03-27 15:08:40.474048',101.72,23.91,-40.11,-0.49,0.31,-0.31,4.76,7597.0,1146.0,422.0,4.0,15190.0,19278.0,-0.14,-0.05,0.99,19.14,6.09,-35.3,44.2610604,26.00243911,114.6,0.0,252.1,1.001099396,0.6574952471,40.61425489),
('2021-03-27 15:08:42.085390',101.72,23.97,-39.78,-0.31,0.49,-0.43,4.75,7583.0,1143.0,403.0,0.0,15202.0,19276.0,-0.14,-0.05,0.99,18.13,6.69,-36.1,44.26106034,26.002439159999998,114.6,0.0,252.1,1.001099396,0.7218725649,40.9470756),
('2021-03-27 15:08:43.369089',101.72,23.97,-39.76,-0.37,0.31,-0.43,4.75,7574.0,1143.0,405.0,0.0,15202.0,19277.0,-0.15,-0.05,0.99,18.13,6.09,-35.3,44.2610603,26.00243921,114.6,0.0,252.1,1.002546757,0.6464518544,40.1481631),
('2021-03-27 15:08:45.204664',101.72,23.95,-39.64,-0.49,0.31,-0.24,4.74,7567.0,1141.0,425.0,6.0,15186.0,19270.0,-0.14,-0.05,1.0,18.75,6.6,-36.9,44.26106024,26.00243927,114.7,0.0,252.1,1.010989614,0.6275348596,41.91339285),
('2021-03-27 15:08:47.304843',101.73,24.04,-39.72,-0.43,0.12,-0.55,4.75,7576.0,1143.0,428.0,5.0,15186.0,19268.0,-0.14,-0.05,0.99,18.62,5.79,-34.5,44.26106016,26.00243941,114.7,0.0,252.1,1.001099396,0.7083784299,39.62926318),
('2021-03-27 15:08:49.449298',101.73,24.04,-39.59,-0.49,0.37,-0.55,4.75,7572.0,1143.0,432.0,13.0,15180.0,19273.0,-0.14,-0.05,0.99,18.47,7.42,-36.5,44.261060310000005,26.002439250000002,114.6,0.0,252.1,1.001099396,0.8243178998,41.57459922),
('2021-03-27 15:08:51.463878',101.72,24.04,-39.62,-0.37,0.37,-0.37,4.76,7586.0,1143.0,438.0,13.0,15175.0,19272.0,-0.14,-0.05,0.99,19.1,6.15,-34.7,44.26106024,26.00243921,114.6,0.0,252.1,1.001099396,0.6408587988,40.08394317),
('2021-03-27 15:08:53.419180',101.71,24.16,-39.66,-0.43,0.31,-0.31,4.75,7567.0,1143.0,445.0,11.0,15164.0,19254.0,-0.14,-0.05,0.99,18.86,5.92,-33.9,44.26106022,26.00243923,114.6,0.0,252.1,1.001099396,0.6140846847,39.24227312),
('2021-03-27 15:08:55.389623',101.72,24.16,-39.64,-0.55,0.24,-0.31,4.74,7568.0,1142.0,443.0,11.0,15163.0,19261.0,-0.14,-0.05,0.99,18.04,6.73,-35.1,44.26106022,26.00243923,114.6,0.0,252.1,1.001099396,0.6754257916,40.03429155),
('2021-03-27 15:08:57.430609',101.73,24.18,-39.58,-0.49,0.37,-0.24,4.75,7568.0,1144.0,459.0,17.0,15157.0,19254.0,-0.14,-0.05,1.0,18.73,5.8,-34.9,44.261059519999996,26.002440609999997,114.9,0.0,252.1,1.010989614,0.659241989,40.03077441),
('2021-03-27 15:08:59.080754',101.73,24.25,-39.33,-0.43,0.43,-0.55,4.74,7580.0,1142.0,472.0,23.0,15146.0,19246.0,-0.14,-0.05,1.0,18.42,6.09,-35.6,44.26106365,26.00243594,113.8,0.0,252.1,1.010989614,0.8199390221,40.54311902),
('2021-03-27 15:09:00.515710',101.73,24.34,-39.75,-0.49,0.18,-0.37,4.75,7587.0,1144.0,484.0,31.0,15139.0,19247.0,-0.14,-0.05,1.0,18.31,6.76,-35.5,44.26106438,26.002435180000003,113.7,0.0,252.1,1.010989614,0.6398437309,40.51177236),
('2021-03-27 15:09:02.000820',101.71,24.42,-39.46,-0.24,0.43,-0.43,4.73,7568.0,1140.0,477.0,24.0,15141.0,19241.0,-0.14,-0.05,0.99,17.99,7.54,-35.3,44.26106586,26.002433259999997,113.3,0.0,252.1,1.001099396,0.6537583651,40.33090254),
('2021-03-27 15:09:03.505255',101.73,24.34,-39.32,-0.49,0.49,-0.24,4.73,7548.0,1139.0,476.0,21.0,15145.0,19241.0,-0.14,-0.05,0.99,18.44,6.16,-34.5,44.261070630000006,26.002416450000002,108.9,0.0,252.1,1.001099396,0.7333484847,39.60087373),
('2021-03-27 15:09:05.483934',101.73,24.42,-39.49,-0.37,0.49,-0.24,4.75,7583.0,1144.0,473.0,29.0,15144.0,19236.0,-0.14,-0.05,1.0,18.55,6.68,-34.6,44.2610707,26.00241586,108.8,0.0,252.1,1.010989614,0.659241989,39.82317039),
('2021-03-27 15:09:09.005637',101.73,24.45,-39.61,-0.18,0.43,-0.55,4.74,7587.0,1142.0,474.0,27.0,15149.0,19242.0,-0.15,-0.05,0.99,18.1,6.91,-35.9,44.26106853,26.002418029999998,109.4,0.0,252.1,1.002546757,0.7209715667,40.7942165),
('2021-03-27 15:09:10.370627',101.73,24.51,-39.66,-0.37,0.37,-0.49,4.75,7584.0,1144.0,480.0,29.0,15142.0,19240.0,-0.14,-0.05,0.99,18.79,7.17,-33.0,44.26106812,26.00241826,109.5,0.0,252.1,1.001099396,0.7168681887,38.64547839),
('2021-03-27 15:09:11.924877',101.71,24.57,-39.27,-0.55,0.49,-0.55,4.75,7577.0,1143.0,486.0,33.0,15132.0,19230.0,-0.15,-0.05,1.0,18.3,6.57,-33.6,44.261067940000004,26.00241828,109.5,0.0,252.1,1.012422837,0.9192932068,38.8202898),
('2021-03-27 15:09:13.245236',101.73,24.53,-39.34,-0.49,0.31,-0.31,4.75,7619.0,1143.0,485.0,33.0,15131.0,19226.0,-0.14,-0.05,0.99,18.15,6.43,-35.6,44.26106779,26.00241826,109.6,0.0,252.1,1.001099396,0.6574952471,40.47378658),
('2021-03-27 15:09:14.469827',101.73,24.66,-39.96,-0.43,0.37,-0.61,4.76,7686.0,1146.0,481.0,29.0,15136.0,19233.0,-0.14,-0.05,0.99,18.73,6.84,-35.7,44.261067700000005,26.00241822,109.6,0.0,252.1,1.001099396,0.8330066026,40.89117876),
('2021-03-27 15:09:15.640313',101.72,24.64,-40.99,-0.43,0.55,-0.43,4.74,7628.0,1141.0,491.0,38.0,15135.0,19231.0,-0.14,-0.05,0.99,18.24,7.41,-35.6,44.26106752,26.0024182,109.6,0.0,252.1,1.001099396,0.8199390221,40.68126965),
('2021-03-27 15:09:16.810317',101.72,24.55,-40.46,-0.49,0.43,-0.55,4.77,7742.0,1148.0,486.0,34.0,15132.0,19227.0,-0.14,-0.05,0.99,18.18,7.14,-34.9,44.261067499999996,26.00241816,109.6,0.0,252.1,1.001099396,0.8529361055,39.99377452),
('2021-03-27 15:09:18.015292',101.71,24.49,-41.37,-0.49,0.37,-0.12,4.73,7612.0,1140.0,488.0,37.0,15133.0,19227.0,-0.14,-0.05,0.99,17.03,6.69,-35.3,44.26106748,26.002418109999997,109.6,0.0,252.1,1.001099396,0.6256196928,39.76011821),
('2021-03-27 15:09:19.195227',101.72,24.57,-40.04,-0.55,0.18,-0.31,4.73,7584.0,1139.0,477.0,37.0,15142.0,19221.0,-0.14,-0.05,0.99,18.58,7.29,-34.9,44.26106734,26.002418050000003,109.6,0.0,252.1,1.001099396,0.6565059025,40.20411049),
('2021-03-27 15:09:20.380161',101.73,24.45,-39.66,-0.31,0.24,-0.31,4.74,7587.0,1141.0,469.0,34.0,15145.0,19220.0,-0.14,-0.05,1.0,17.6,7.36,-35.6,44.2610672,26.002418050000003,109.6,0.0,252.1,1.010989614,0.49979996,40.38922629),
('2021-03-27 15:09:21.794797',101.72,24.49,-39.51,-0.55,0.24,-0.24,4.75,7598.0,1142.0,467.0,38.0,15153.0,19228.0,-0.14,-0.05,0.99,17.47,6.84,-34.8,44.26106704,26.002418,109.6,0.0,252.1,1.001099396,0.6462971453,39.53512995),
('2021-03-27 15:09:23.490126',101.72,24.45,-39.58,-0.24,0.49,-0.55,4.7,7544.0,1135.0,473.0,33.0,15147.0,19234.0,-0.14,-0.05,0.99,17.5,7.46,-35.3,44.26106709,26.00241786,109.6,0.0,252.1,1.001099396,0.7747257579,40.09977057),
('2021-03-27 15:09:24.885345',101.72,24.51,-39.67,-0.55,0.37,-0.31,4.73,7566.0,1140.0,460.0,28.0,15155.0,19230.0,-0.14,-0.05,0.99,17.94,6.52,-34.8,44.261067069999996,26.0024178,109.6,0.0,252.1,1.001099396,0.7317786551,39.69123329),
('2021-03-27 15:09:26.439950',101.72,24.4,-39.37,-0.49,0.12,-0.31,4.72,7535.0,1138.0,444.0,27.0,15164.0,19237.0,-0.15,-0.05,0.99,17.2,6.86,-36.6,44.261067059999995,26.00241775,109.5,0.0,252.1,1.002546757,0.5921148537,41.01779614),
('2021-03-27 15:09:27.844146',101.72,24.32,-39.39,-0.31,0.31,-0.37,4.72,7574.0,1138.0,450.0,32.0,15169.0,19236.0,-0.14,-0.05,0.99,18.18,6.37,-34.9,44.261067059999995,26.002417559999998,109.5,0.0,252.1,1.001099396,0.5736723804,39.86350838),
('2021-03-27 15:09:29.394130',101.72,24.34,-39.73,-0.24,0.37,-0.37,4.72,7625.0,1138.0,431.0,23.0,15174.0,19237.0,-0.14,-0.05,0.99,17.85,6.15,-34.4,44.261067059999995,26.00241737,109.5,0.0,252.1,1.001099396,0.5756735186,39.24034913),
('2021-03-27 15:09:30.760041',101.71,24.27,-40.52,-0.49,0.24,-0.31,4.7,7537.0,1135.0,425.0,27.0,15173.0,19243.0,-0.14,-0.05,0.99,17.86,6.9,-35.1,44.261067080000004,26.002417230000002,109.4,0.0,252.1,1.001099396,0.6275348596,39.98249117),
('2021-03-27 15:09:32.045737',101.72,24.29,-39.33,-0.49,0.18,-0.49,4.73,7532.0,1139.0,418.0,23.0,15192.0,19259.0,-0.14,-0.05,0.99,17.88,7.08,-35.0,44.26106678,26.002417169999998,109.5,0.0,252.1,1.001099396,0.7159608928,39.93520752),
('2021-03-27 15:09:33.380281',101.72,24.19,-39.11,-0.55,0.31,-0.31,4.72,7531.0,1138.0,416.0,19.0,15190.0,19255.0,-0.14,-0.05,0.98,18.15,6.99,-33.9,44.26106481,26.0024172,110.4,0.0,252.1,0.9912113801,0.7033491309,39.08314982),
('2021-03-27 15:09:35.124647',101.72,24.14,-39.22,-0.49,0.24,-0.55,4.72,7525.0,1136.0,411.0,14.0,15186.0,19257.0,-0.14,-0.05,0.98,17.77,6.98,-36.0,44.26106384,26.002417209999997,110.8,0.0,252.1,0.9912113801,0.7747257579,40.74915091),
('2021-03-27 15:09:36.815168',101.72,24.04,-39.11,-0.37,0.31,-0.55,4.73,7546.0,1139.0,411.0,16.0,15194.0,19255.0,-0.15,-0.06,0.99,18.53,6.48,-34.3,44.2610624,26.00241722,111.4,0.0,252.1,1.00309521,0.7317786551,39.5201379),
('2021-03-27 15:09:38.395083',101.7,24.06,-39.31,-0.43,0.37,-0.31,4.74,7551.0,1141.0,419.0,17.0,15188.0,19263.0,-0.14,-0.05,0.99,17.58,7.31,-34.1,44.26106135,26.0024172,111.8,0.0,252.1,1.001099396,0.6464518544,39.0551213),
('2021-03-27 15:09:40.105474',101.73,24.06,-39.34,-0.43,0.37,-0.43,4.74,7548.0,1142.0,422.0,13.0,15181.0,19260.0,-0.14,-0.05,0.99,17.36,6.62,-36.0,44.26106005,26.00241724,112.4,0.0,252.1,1.001099396,0.7118286311,40.51165264),
('2021-03-27 15:09:41.403010',101.72,24.1,-39.19,-0.55,0.31,-0.43,4.73,7563.0,1142.0,421.0,11.0,15186.0,19263.0,-0.14,-0.05,0.99,17.66,7.18,-35.6,44.261058780000006,26.002417209999997,112.9,0.0,252.1,1.001099396,0.763871717,40.38301623),
('2021-03-27 15:09:42.744151',101.73,24.12,-39.34,-0.49,0.43,-0.43,4.72,7533.0,1138.0,433.0,15.0,15174.0,19257.0,-0.14,-0.05,0.99,18.59,6.12,-35.3,44.261058510000005,26.002417169999998,113.0,0.0,252.1,1.001099396,0.7809609465,40.36251355),
('2021-03-27 15:09:44.066194',101.72,24.12,-39.14,-0.49,0.49,-0.37,4.72,7535.0,1141.0,435.0,20.0,15174.0,19258.0,-0.14,-0.05,0.99,17.97,7.06,-35.2,44.261058240000004,26.00241715,113.1,0.0,252.1,1.001099396,0.7855571271,40.14728509),
